  cell  ,E,W,N,S
"(27, 3)",0,1,1,0
"(28, 3)",1,1,0,0
"(29, 3)",1,0,0,1
"(30, 3)",0,1,1,0
"(1, 4)",1,0,0,1
"(2, 4)",1,1,1,0
"(3, 4)",1,0,0,1
"(4, 4)",0,1,1,0
"(5, 4)",0,1,0,1
"(6, 4)",0,0,1,1
"(7, 4)",0,0,1,1
"(8, 4)",0,0,1,1
"(9, 4)",1,1,1,0
"(10, 4)",1,1,0,0
"(11, 4)",0,1,0,1
"(12, 4)",1,0,1,0
"(13, 4)",1,1,0,0
"(14, 4)",1,1,0,1
"(15, 4)",1,0,1,0
"(16, 4)",0,1,0,1
"(17, 4)",1,1,1,0
"(18, 4)",1,0,0,1
"(19, 4)",0,1,1,0
"(20, 4)",1,1,0,1
"(21, 4)",1,0,1,0
"(22, 4)",1,0,0,1
"(23, 4)",0,1,1,1
"(24, 4)",1,0,1,1
"(25, 4)",0,1,1,1
"(26, 4)",0,1,1,1
"(27, 4)",0,0,1,1
"(28, 4)",0,1,1,1
"(29, 4)",0,1,1,1
"(30, 4)",1,0,1,0
"(1, 5)",1,1,0,0
"(2, 5)",1,1,0,1
"(3, 5)",0,1,1,1
"(4, 5)",0,0,1,1
"(5, 5)",0,0,1,1
"(6, 5)",0,0,1,1
"(7, 5)",1,0,1,1
"(8, 5)",0,0,1,0
"(9, 5)",1,1,0,0
"(10, 5)",1,1,0,1
"(11, 5)",1,0,1,0
"(12, 5)",1,1,0,0
"(13, 5)",1,1,0,1
"(14, 5)",1,1,1,0
"(15, 5)",0,1,0,1
"(16, 5)",1,0,1,0
"(17, 5)",1,1,0,0
"(18, 5)",1,1,0,0
"(19, 5)",0,0,0,1
"(20, 5)",1,1,1,0
"(21, 5)",0,1,0,1
"(22, 5)",0,1,1,1
"(23, 5)",0,0,1,1
"(24, 5)",0,1,1,1
"(25, 5)",1,0,1,0
"(26, 5)",0,0,0,1
"(27, 5)",0,0,1,1
"(28, 5)",1,0,1,0
"(29, 5)",1,0,0,1
"(30, 5)",1,1,1,0
"(1, 6)",1,1,0,1
"(2, 6)",1,1,1,0
"(3, 6)",1,0,0,1
"(4, 6)",0,0,1,1
"(5, 6)",0,0,1,1
"(6, 6)",1,0,1,0
"(7, 6)",0,1,0,1
"(8, 6)",1,0,1,0
"(9, 6)",1,1,0,1
"(10, 6)",0,1,1,0
"(11, 6)",1,1,0,0
"(12, 6)",1,1,0,0
"(13, 6)",1,1,0,0
"(14, 6)",1,1,0,1
"(15, 6)",1,0,1,1
"(16, 6)",0,1,1,0
"(17, 6)",1,1,0,0
"(18, 6)",0,1,0,1
"(19, 6)",1,0,1,0
"(20, 6)",0,1,0,1
"(21, 6)",1,0,1,0
"(22, 6)",0,0,0,1
"(23, 6)",1,0,1,1
"(24, 6)",0,0,1,0
"(25, 6)",1,1,0,0
"(26, 6)",1,0,0,1
"(27, 6)",1,0,1,0
"(28, 6)",1,1,0,0
"(29, 6)",1,1,0,0
"(30, 6)",1,1,0,0
"(1, 7)",1,1,0,0
"(2, 7)",0,1,0,1
"(3, 7)",0,1,1,1
"(4, 7)",1,0,1,1
"(5, 7)",0,0,1,1
"(6, 7)",1,1,1,0
"(7, 7)",1,0,0,0
"(8, 7)",0,1,0,1
"(9, 7)",1,1,1,0
"(10, 7)",1,0,0,1
"(11, 7)",1,1,1,1
"(12, 7)",0,1,1,1
"(13, 7)",0,1,1,1
"(14, 7)",0,1,1,0
"(15, 7)",1,1,0,0
"(16, 7)",0,0,0,1
"(17, 7)",0,1,1,1
"(18, 7)",0,0,1,0
"(19, 7)",1,1,0,0
"(20, 7)",1,0,0,0
"(21, 7)",0,1,0,1
"(22, 7)",1,0,1,0
"(23, 7)",1,1,0,1
"(24, 7)",0,0,1,1
"(25, 7)",0,1,1,1
"(26, 7)",0,1,1,0
"(27, 7)",0,1,0,1
"(28, 7)",1,1,1,0
"(29, 7)",0,1,0,1
"(30, 7)",1,1,1,0
"(1, 8)",1,1,0,1
"(2, 8)",0,0,1,1
"(3, 8)",1,0,1,0
"(4, 8)",1,1,0,0
"(5, 8)",1,0,0,1
"(6, 8)",0,1,1,1
"(7, 8)",0,1,1,1
"(8, 8)",1,0,1,0
"(9, 8)",1,1,0,1
"(10, 8)",0,1,1,0
"(11, 8)",0,1,0,1
"(12, 8)",1,0,1,1
"(13, 8)",1,0,1,0
"(14, 8)",1,0,0,0
"(15, 8)",1,1,0,0
"(16, 8)",1,0,0,1
"(17, 8)",0,0,1,1
"(18, 8)",0,0,1,1
"(19, 8)",0,1,1,1
"(20, 8)",1,1,1,1
"(21, 8)",1,0,1,1
"(22, 8)",1,1,1,0
"(23, 8)",1,1,0,1
"(24, 8)",0,0,1,1
"(25, 8)",0,0,1,1
"(26, 8)",0,0,1,1
"(27, 8)",1,0,1,0
"(28, 8)",0,1,0,0
"(29, 8)",1,0,0,1
"(30, 8)",0,1,1,0
"(1, 9)",1,1,0,1
"(2, 9)",0,0,1,1
"(3, 9)",1,1,1,1
"(4, 9)",0,1,1,1
"(5, 9)",0,1,1,1
"(6, 9)",1,0,1,0
"(7, 9)",1,0,0,1
"(8, 9)",1,1,1,0
"(9, 9)",1,1,0,1
"(10, 9)",1,0,1,0
"(11, 9)",1,0,0,1
"(12, 9)",1,1,1,0
"(13, 9)",1,1,0,1
"(14, 9)",0,1,1,0
"(15, 9)",1,1,0,0
"(16, 9)",1,1,0,0
"(17, 9)",1,0,0,1
"(18, 9)",0,0,1,1
"(19, 9)",0,0,1,1
"(20, 9)",1,1,1,0
"(21, 9)",1,1,0,0
"(22, 9)",1,1,0,1
"(23, 9)",0,1,1,0
"(24, 9)",1,0,0,1
"(25, 9)",0,0,1,1
"(26, 9)",1,0,1,0
"(27, 9)",0,1,0,1
"(28, 9)",1,0,1,0
"(29, 9)",1,1,0,1
"(30, 9)",1,0,1,0
"(1, 10)",0,1,0,1
"(2, 10)",0,0,1,1
"(3, 10)",1,1,1,1
"(4, 10)",1,0,1,1
"(5, 10)",0,0,1,1
"(6, 10)",1,1,1,0
"(7, 10)",1,1,0,0
"(8, 10)",0,1,0,1
"(9, 10)",0,1,1,0
"(10, 10)",1,1,0,1
"(11, 10)",1,1,1,0
"(12, 10)",1,1,0,1
"(13, 10)",1,1,1,1
"(14, 10)",0,0,1,1
"(15, 10)",0,1,1,0
"(16, 10)",0,1,0,1
"(17, 10)",1,1,1,1
"(18, 10)",0,0,1,1
"(19, 10)",1,0,1,0
"(20, 10)",1,1,0,0
"(21, 10)",1,1,0,1
"(22, 10)",1,1,1,1
"(23, 10)",0,0,1,1
"(24, 10)",1,1,1,1
"(25, 10)",1,0,1,0
"(26, 10)",1,1,0,1
"(27, 10)",0,0,1,1
"(28, 10)",0,1,1,0
"(29, 10)",0,1,0,0
"(30, 10)",1,1,0,0
"(1, 11)",1,0,0,1
"(2, 11)",0,0,1,1
"(3, 11)",0,1,1,0
"(4, 11)",0,1,0,1
"(5, 11)",1,0,1,1
"(6, 11)",0,1,1,1
"(7, 11)",1,1,1,0
"(8, 11)",1,0,0,1
"(9, 11)",1,0,1,1
"(10, 11)",1,1,1,0
"(11, 11)",1,1,0,0
"(12, 11)",1,1,0,0
"(13, 11)",1,1,0,0
"(14, 11)",1,0,0,1
"(15, 11)",0,0,1,1
"(16, 11)",1,0,1,0
"(17, 11)",0,1,0,1
"(18, 11)",0,0,1,1
"(19, 11)",0,1,1,1
"(20, 11)",0,1,1,1
"(21, 11)",1,1,1,0
"(22, 11)",0,1,0,1
"(23, 11)",1,0,1,1
"(24, 11)",1,1,1,0
"(25, 11)",0,1,0,1
"(26, 11)",1,1,1,0
"(27, 11)",1,0,0,1
"(28, 11)",1,0,1,1
"(29, 11)",1,0,1,0
"(30, 11)",1,1,0,0
"(1, 12)",1,1,0,1
"(2, 12)",1,0,1,1
"(3, 12)",0,0,1,1
"(4, 12)",1,0,1,0
"(5, 12)",1,1,0,0
"(6, 12)",0,0,0,1
"(7, 12)",1,1,1,1
"(8, 12)",0,1,1,0
"(9, 12)",1,1,0,0
"(10, 12)",0,1,0,1
"(11, 12)",1,1,1,1
"(12, 12)",1,1,1,1
"(13, 12)",1,1,1,0
"(14, 12)",0,1,0,1
"(15, 12)",1,0,1,0
"(16, 12)",1,1,0,0
"(17, 12)",1,0,0,1
"(18, 12)",1,0,1,1
"(19, 12)",0,0,1,1
"(20, 12)",1,0,1,0
"(21, 12)",1,1,0,0
"(22, 12)",1,0,0,1
"(23, 12)",0,1,1,0
"(24, 12)",0,1,0,1
"(25, 12)",1,0,1,1
"(26, 12)",1,1,1,0
"(27, 12)",0,1,0,0
"(28, 12)",1,1,0,0
"(29, 12)",0,1,0,1
"(30, 12)",1,1,1,0
"(1, 13)",1,1,0,0
"(2, 13)",0,1,0,1
"(3, 13)",1,0,1,0
"(4, 13)",0,1,0,1
"(5, 13)",0,1,1,0
"(6, 13)",1,0,0,1
"(7, 13)",0,1,1,1
"(8, 13)",1,0,1,1
"(9, 13)",1,1,1,1
"(10, 13)",1,0,1,0
"(11, 13)",1,1,0,0
"(12, 13)",1,1,0,0
"(13, 13)",1,1,0,1
"(14, 13)",0,0,1,1
"(15, 13)",0,1,1,0
"(16, 13)",1,1,0,0
"(17, 13)",1,1,0,0
"(18, 13)",1,1,0,1
"(19, 13)",1,0,1,1
"(20, 13)",0,1,1,1
"(21, 13)",1,1,1,1
"(22, 13)",0,1,1,1
"(23, 13)",1,0,1,0
"(24, 13)",1,0,0,1
"(25, 13)",0,1,1,0
"(26, 13)",1,1,0,1
"(27, 13)",0,0,1,1
"(28, 13)",0,1,1,1
"(29, 13)",0,0,1,1
"(30, 13)",1,1,1,0
"(1, 14)",0,1,0,1
"(2, 14)",1,0,1,0
"(3, 14)",1,1,0,1
"(4, 14)",0,0,1,1
"(5, 14)",1,0,1,1
"(6, 14)",0,1,1,0
"(7, 14)",1,0,0,0
"(8, 14)",1,1,0,0
"(9, 14)",1,1,0,0
"(10, 14)",1,1,0,0
"(11, 14)",1,1,0,0
"(12, 14)",0,1,0,1
"(13, 14)",1,1,1,1
"(14, 14)",0,0,1,1
"(15, 14)",1,0,1,0
"(16, 14)",1,1,0,1
"(17, 14)",0,1,1,1
"(18, 14)",1,1,1,0
"(19, 14)",1,1,0,0
"(20, 14)",1,0,0,0
"(21, 14)",1,1,0,0
"(22, 14)",1,0,0,1
"(23, 14)",0,1,1,1
"(24, 14)",0,1,1,0
"(25, 14)",0,0,0,1
"(26, 14)",0,1,1,0
"(27, 14)",1,0,0,1
"(28, 14)",0,0,1,1
"(29, 14)",1,0,1,0
"(30, 14)",1,1,0,0
"(1, 15)",1,0,0,0
"(2, 15)",1,1,0,1
"(3, 15)",0,1,1,0
"(4, 15)",1,0,0,1
"(5, 15)",1,1,1,0
"(6, 15)",1,0,0,1
"(7, 15)",1,1,1,1
"(8, 15)",0,1,1,0
"(9, 15)",1,1,0,0
"(10, 15)",1,1,0,0
"(11, 15)",1,1,0,0
"(12, 15)",1,0,0,0
"(13, 15)",0,1,0,1
"(14, 15)",1,0,1,0
"(15, 15)",0,1,0,1
"(16, 15)",1,1,1,1
"(17, 15)",0,0,1,1
"(18, 15)",1,1,1,1
"(19, 15)",1,1,1,0
"(20, 15)",1,1,0,0
"(21, 15)",1,1,0,1
"(22, 15)",0,1,1,1
"(23, 15)",0,0,1,1
"(24, 15)",0,0,1,1
"(25, 15)",1,0,1,0
"(26, 15)",1,0,0,1
"(27, 15)",1,1,1,1
"(28, 15)",0,0,1,0
"(29, 15)",0,1,0,1
"(30, 15)",1,1,1,0
"(1, 16)",1,1,0,1
"(2, 16)",0,1,1,1
"(3, 16)",0,0,1,1
"(4, 16)",0,1,1,0
"(5, 16)",0,1,0,1
"(6, 16)",0,1,1,0
"(7, 16)",1,1,0,0
"(8, 16)",1,0,0,1
"(9, 16)",0,1,1,0
"(10, 16)",1,1,0,0
"(11, 16)",1,1,0,0
"(12, 16)",1,1,0,1
"(13, 16)",1,0,1,1
"(14, 16)",0,1,1,1
"(15, 16)",1,0,1,0
"(16, 16)",1,1,0,1
"(17, 16)",0,0,1,0
"(18, 16)",1,1,0,0
"(19, 16)",1,1,0,1
"(20, 16)",0,1,1,1
"(21, 16)",0,1,1,1
"(22, 16)",0,0,1,1
"(23, 16)",1,0,1,0
"(24, 16)",1,0,0,0
"(25, 16)",0,1,0,1
"(26, 16)",0,1,1,0
"(27, 16)",1,1,0,0
"(28, 16)",1,0,0,1
"(29, 16)",0,0,1,1
"(30, 16)",1,1,1,0
"(1, 17)",0,1,0,1
"(2, 17)",0,0,1,1
"(3, 17)",0,0,1,1
"(4, 17)",1,0,1,1
"(5, 17)",1,0,1,0
"(6, 17)",0,0,0,1
"(7, 17)",0,1,1,1
"(8, 17)",1,1,1,0
"(9, 17)",1,0,0,1
"(10, 17)",0,1,1,0
"(11, 17)",0,1,0,1
"(12, 17)",0,1,1,0
"(13, 17)",1,1,0,0
"(14, 17)",1,0,0,0
"(15, 17)",1,1,0,1
"(16, 17)",1,1,1,0
"(17, 17)",1,0,0,1
"(18, 17)",1,1,1,0
"(19, 17)",0,1,0,1
"(20, 17)",0,0,1,1
"(21, 17)",1,0,1,0
"(22, 17)",1,0,0,1
"(23, 17)",0,1,1,1
"(24, 17)",0,1,1,1
"(25, 17)",1,0,1,0
"(26, 17)",1,0,0,1
"(27, 17)",1,1,1,0
"(28, 17)",0,1,0,1
"(29, 17)",1,0,1,0
"(30, 17)",1,1,0,0
"(1, 18)",1,0,0,0
"(2, 18)",1,0,0,1
"(3, 18)",1,0,1,1
"(4, 18)",0,1,1,0
"(5, 18)",0,1,0,1
"(6, 18)",0,0,1,1
"(7, 18)",0,0,1,1
"(8, 18)",1,1,1,0
"(9, 18)",0,1,0,1
"(10, 18)",1,0,1,1
"(11, 18)",1,0,1,0
"(12, 18)",0,0,0,1
"(13, 18)",0,1,1,1
"(14, 18)",0,1,1,1
"(15, 18)",1,1,1,0
"(16, 18)",1,1,0,0
"(17, 18)",1,1,0,0
"(18, 18)",0,1,0,1
"(19, 18)",1,0,1,1
"(20, 18)",0,0,1,1
"(21, 18)",1,1,1,0
"(22, 18)",1,1,0,1
"(23, 18)",0,0,1,1
"(24, 18)",0,0,1,1
"(25, 18)",0,1,1,0
"(26, 18)",1,1,0,0
"(27, 18)",1,1,0,0
"(28, 18)",1,0,0,1
"(29, 18)",0,1,1,1
"(30, 18)",1,1,1,0
"(1, 19)",1,1,0,1
"(2, 19)",0,1,1,0
"(3, 19)",0,1,0,1
"(4, 19)",1,0,1,1
"(5, 19)",0,0,1,1
"(6, 19)",0,0,1,1
"(7, 19)",1,0,1,0
"(8, 19)",0,1,0,1
"(9, 19)",1,0,1,0
"(10, 19)",0,1,0,0
"(11, 19)",0,1,0,1
"(12, 19)",1,0,1,1
"(13, 19)",0,0,1,1
"(14, 19)",1,0,1,0
"(15, 19)",0,1,0,1
"(16, 19)",0,1,1,0
"(17, 19)",0,1,0,1
"(18, 19)",1,0,1,1
"(19, 19)",0,1,1,1
"(20, 19)",0,0,1,1
"(21, 19)",0,1,1,0
"(22, 19)",1,1,0,1
"(23, 19)",1,0,1,0
"(24, 19)",1,0,0,1
"(25, 19)",0,0,1,1
"(26, 19)",1,1,1,1
"(27, 19)",1,1,1,1
"(28, 19)",0,1,1,0
"(29, 19)",1,0,0,1
"(30, 19)",0,1,1,0
"(1, 20)",0,1,0,1
"(2, 20)",0,0,1,1
"(3, 20)",1,0,1,1
"(4, 20)",1,1,1,1
"(5, 20)",1,0,1,1
"(6, 20)",0,0,1,0
"(7, 20)",0,1,0,1
"(8, 20)",1,0,1,0
"(9, 20)",1,1,0,0
"(10, 20)",1,0,0,1
"(11, 20)",1,0,1,1
"(12, 20)",0,1,1,1
"(13, 20)",1,0,1,1
"(14, 20)",0,1,1,1
"(15, 20)",1,0,1,1
"(16, 20)",1,0,1,1
"(17, 20)",1,0,1,1
"(18, 20)",1,1,1,1
"(19, 20)",0,0,1,1
"(20, 20)",0,0,1,1
"(21, 20)",1,0,1,1
"(22, 20)",1,1,1,0
"(23, 20)",1,1,0,0
"(24, 20)",1,1,0,1
"(25, 20)",0,0,1,1
"(26, 20)",1,1,1,0
"(27, 20)",0,1,0,1
"(28, 20)",1,0,1,1
"(29, 20)",1,1,1,1
"(30, 20)",1,0,1,0
"(1, 21)",1,0,0,1
"(2, 21)",0,0,1,1
"(3, 21)",1,1,1,0
"(4, 21)",1,1,0,0
"(5, 21)",0,1,0,1
"(6, 21)",0,0,1,1
"(7, 21)",1,0,1,1
"(8, 21)",0,1,1,0
"(9, 21)",1,1,0,1
"(10, 21)",0,1,1,0
"(11, 21)",0,1,0,1
"(12, 21)",0,0,1,1
"(13, 21)",1,1,1,0
"(14, 21)",1,0,0,1
"(15, 21)",0,1,1,0
"(16, 21)",0,1,0,0
"(17, 21)",1,1,0,0
"(18, 21)",0,1,0,1
"(19, 21)",0,0,1,1
"(20, 21)",0,0,1,1
"(21, 21)",1,1,1,0
"(22, 21)",0,1,0,0
"(23, 21)",0,1,0,1
"(24, 21)",1,1,1,0
"(25, 21)",1,0,0,0
"(26, 21)",1,1,0,0
"(27, 21)",1,0,0,1
"(28, 21)",0,1,1,0
"(29, 21)",1,1,0,0
"(30, 21)",1,1,0,0
"(1, 22)",1,1,0,0
"(2, 22)",1,0,0,1
"(3, 22)",0,1,1,0
"(4, 22)",0,1,0,1
"(5, 22)",1,0,1,1
"(6, 22)",1,0,1,0
"(7, 22)",0,1,0,1
"(8, 22)",0,0,1,0
"(9, 22)",1,1,0,1
"(10, 22)",0,0,1,1
"(11, 22)",1,0,1,0
"(12, 22)",1,0,0,1
"(13, 22)",0,1,1,1
"(14, 22)",1,1,1,1
"(15, 22)",0,0,1,1
"(16, 22)",0,0,1,1
"(17, 22)",0,1,1,0
"(18, 22)",1,0,0,1
"(19, 22)",0,0,1,1
"(20, 22)",1,0,1,0
"(21, 22)",0,1,0,1
"(22, 22)",0,0,1,1
"(23, 22)",1,0,1,0
"(24, 22)",1,1,0,1
"(25, 22)",0,1,1,1
"(26, 22)",0,1,1,1
"(27, 22)",0,1,1,1
"(28, 22)",1,0,1,0
"(29, 22)",0,1,0,1
"(30, 22)",0,1,1,0
"(1, 23)",1,1,0,1
"(2, 23)",0,1,1,0
"(3, 23)",1,0,0,1
"(4, 23)",1,0,1,0
"(5, 23)",1,1,0,0
"(6, 23)",0,1,0,1
"(7, 23)",0,0,1,1
"(8, 23)",1,0,1,0
"(9, 23)",1,1,0,1
"(10, 23)",1,0,1,1
"(11, 23)",0,1,1,0
"(12, 23)",1,1,0,0
"(13, 23)",1,0,0,0
"(14, 23)",1,1,0,0
"(15, 23)",1,0,0,1
"(16, 23)",0,0,1,1
"(17, 23)",1,0,1,0
"(18, 23)",1,1,0,0
"(19, 23)",1,0,0,1
"(20, 23)",0,1,1,1
"(21, 23)",1,0,1,1
"(22, 23)",1,0,1,0
"(23, 23)",1,1,0,1
"(24, 23)",0,1,1,1
"(25, 23)",0,0,1,1
"(26, 23)",0,0,1,1
"(27, 23)",0,0,1,1
"(28, 23)",1,1,1,1
"(29, 23)",0,0,1,1
"(30, 23)",1,0,1,0
"(1, 24)",1,1,0,0
"(2, 24)",0,0,0,1
"(3, 24)",1,1,1,0
"(4, 24)",1,1,0,0
"(5, 24)",1,1,0,0
"(6, 24)",1,0,0,1
"(7, 24)",0,0,1,1
"(8, 24)",0,1,1,1
"(9, 24)",1,1,1,0
"(10, 24)",1,1,0,0
"(11, 24)",1,0,0,1
"(12, 24)",0,1,1,1
"(13, 24)",1,1,1,0
"(14, 24)",1,1,0,0
"(15, 24)",1,1,0,0
"(16, 24)",0,0,0,1
"(17, 24)",1,1,1,1
"(18, 24)",0,1,1,0
"(19, 24)",1,1,0,0
"(20, 24)",1,0,0,1
"(21, 24)",0,1,1,0
"(22, 24)",1,1,0,0
"(23, 24)",1,1,0,0
"(24, 24)",1,0,0,1
"(25, 24)",1,0,1,1
"(26, 24)",0,0,1,1
"(27, 24)",1,0,1,0
"(28, 24)",0,1,0,1
"(29, 24)",1,0,1,0
"(30, 24)",1,1,0,0
"(1, 25)",0,1,0,1
"(2, 25)",0,0,1,1
"(3, 25)",1,1,1,1
"(4, 25)",0,1,1,1
"(5, 25)",1,1,1,0
"(6, 25)",0,1,0,1
"(7, 25)",0,0,1,1
"(8, 25)",0,0,1,1
"(9, 25)",0,1,1,0
"(10, 25)",1,1,0,0
"(11, 25)",1,1,0,1
"(12, 25)",1,0,1,1
"(13, 25)",0,1,1,1
"(14, 25)",0,1,1,1
"(15, 25)",1,1,1,0
"(16, 25)",1,0,0,1
"(17, 25)",0,1,1,1
"(18, 25)",1,0,1,1
"(19, 25)",0,1,1,1
"(20, 25)",0,1,1,1
"(21, 25)",1,0,1,1
"(22, 25)",0,1,1,0
"(23, 25)",0,1,0,1
"(24, 25)",1,1,1,0
"(25, 25)",1,1,0,0
"(26, 25)",0,0,0,1
"(27, 25)",0,1,1,1
"(28, 25)",1,0,1,0
"(29, 25)",0,1,0,0
"(30, 25)",1,1,0,0
"(1, 26)",1,0,0,1
"(2, 26)",0,0,1,1
"(3, 26)",0,1,1,1
"(4, 26)",1,0,1,1
"(5, 26)",0,1,1,1
"(6, 26)",1,0,1,0
"(7, 26)",0,0,0,1
"(8, 26)",1,0,1,0
"(9, 26)",1,0,0,1
"(10, 26)",0,1,1,0
"(11, 26)",1,1,0,0
"(12, 26)",0,1,0,1
"(13, 26)",0,0,1,1
"(14, 26)",1,0,1,1
"(15, 26)",0,1,1,1
"(16, 26)",0,1,1,0
"(17, 26)",1,0,0,1
"(18, 26)",0,1,1,1
"(19, 26)",0,0,1,1
"(20, 26)",1,0,1,1
"(21, 26)",0,1,1,1
"(22, 26)",1,0,1,0
"(23, 26)",1,0,0,1
"(24, 26)",0,1,1,0
"(25, 26)",1,1,0,1
"(26, 26)",0,0,1,1
"(27, 26)",1,0,1,0
"(28, 26)",0,1,0,1
"(29, 26)",1,0,1,1
"(30, 26)",1,1,1,0
"(1, 27)",0,1,0,1
"(2, 27)",1,0,1,0
"(3, 27)",1,0,0,0
"(4, 27)",1,1,0,1
"(5, 27)",0,0,1,1
"(6, 27)",0,1,1,1
"(7, 27)",0,0,1,1
"(8, 27)",1,1,1,1
"(9, 27)",0,1,1,1
"(10, 27)",0,0,1,1
"(11, 27)",1,1,1,0
"(12, 27)",1,0,0,1
"(13, 27)",1,0,1,1
"(14, 27)",0,1,1,1
"(15, 27)",0,0,1,1
"(16, 27)",0,0,1,1
"(17, 27)",1,1,1,0
"(18, 27)",0,0,0,1
"(19, 27)",1,0,1,0
"(20, 27)",0,1,0,1
"(21, 27)",0,0,1,1
"(22, 27)",0,1,1,0
"(23, 27)",0,1,0,1
"(24, 27)",1,0,1,1
"(25, 27)",1,1,1,1
"(26, 27)",0,0,1,1
"(27, 27)",1,1,1,1
"(28, 27)",1,0,1,1
"(29, 27)",1,1,1,0
"(30, 27)",1,1,0,0
"(1, 28)",1,0,0,1
"(2, 28)",0,1,1,1
"(3, 28)",1,1,1,1
"(4, 28)",1,1,1,1
"(5, 28)",1,0,1,1
"(6, 28)",0,0,1,1
"(7, 28)",0,0,1,0
"(8, 28)",0,1,0,1
"(9, 28)",1,0,1,0
"(10, 28)",0,0,0,1
"(11, 28)",0,1,1,1
"(12, 28)",1,1,1,0
"(13, 28)",1,1,0,1
"(14, 28)",0,0,1,1
"(15, 28)",0,0,1,1
"(16, 28)",1,0,1,1
"(17, 28)",0,1,1,1
"(18, 28)",0,0,1,1
"(19, 28)",0,1,1,1
"(20, 28)",1,0,1,0
"(21, 28)",0,0,0,1
"(22, 28)",1,0,1,1
"(23, 28)",1,0,1,1
"(24, 28)",1,1,1,0
"(25, 28)",0,1,0,0
"(26, 28)",1,0,0,1
"(27, 28)",1,1,1,0
"(28, 28)",1,1,0,0
"(29, 28)",0,1,0,0
"(30, 28)",1,1,0,0
"(1, 29)",1,1,0,1
"(2, 29)",0,0,1,1
"(3, 29)",0,1,1,0
"(4, 29)",1,1,0,0
"(5, 29)",1,1,0,1
"(6, 29)",0,0,1,1
"(7, 29)",1,0,1,1
"(8, 29)",1,0,1,0
"(9, 29)",0,1,0,1
"(10, 29)",0,0,1,1
"(11, 29)",1,0,1,1
"(12, 29)",0,1,1,1
"(13, 29)",1,1,1,1
"(14, 29)",0,0,1,1
"(15, 29)",1,0,1,1
"(16, 29)",0,1,1,1
"(17, 29)",0,0,1,1
"(18, 29)",1,0,1,0
"(19, 29)",1,0,0,1
"(20, 29)",0,1,1,1
"(21, 29)",1,0,1,0
"(22, 29)",0,1,0,0
"(23, 29)",1,1,0,0
"(24, 29)",1,1,0,1
"(25, 29)",0,0,1,1
"(26, 29)",1,1,1,0
"(27, 29)",1,1,0,1
"(28, 29)",1,1,1,0
"(29, 29)",1,0,0,1
"(30, 29)",0,1,1,0
"(1, 30)",0,1,0,1
"(2, 30)",0,0,1,1
"(3, 30)",0,0,1,1
